company;rank;rank_change;revenue;profit;num. of employees;sector;city;state;newcomer;ceo_founder;ceo_woman;profitable;prev_rank;CEO;Website;Ticker;Market Cap
"BJ&#8217;s Wholesale Club";221;-23.0;16667.3;426.7;34000.0;Retailing;Westborough;MA;no;no;no;yes;198.0;Robert W. Eddy;https://www.bjs.com;BJ;9146.9
Reinsurance Group of America;222;-15.0;16658.0;617.0;3500.0;Financials;Chesterfield;MO;no;no;yes;yes;207.0;Anna Manning;https://www.rgare.com;RGA;7354.6
Kinder Morgan;223;39.0;16610.0;1784.0;10529.0;Energy;Houston;TX;no;no;no;yes;262.0;Steven J. Kean;https://www.kindermorgan.com;KMI;42878.1
Oneok;224;127.0;16540.3;1499.7;2847.0;Energy;Tulsa;OK;no;no;no;yes;351.0;Pierce H. Norton II;https://www.oneok.com;OKE;31516
Expeditors Intl. of Washington;225;74.0;16523.5;1415.5;19070.0;Transportation;Seattle;WA;no;no;no;yes;299.0;Jeffrey Musser;https://www.expeditors.com;EXPD;15051
Advanced Micro Devices;226;83.0;16434.0;3162.0;15500.0;Technology;Santa Clara;CA;no;no;yes;yes;309.0;Lisa Su;https://www.amd.com;AMD;93566
Fiserv;227;-22.0;16226.0;1334.0;44000.0;Business Services;Brookfield;WI;no;no;no;yes;205.0;Frank J. Bisignano;https://www.fiserv.com;FISV;66132.8
Estée Lauder;228;-15.0;16215.0;2870.0;53320.0;Household Products;New York;NY;no;no;no;yes;213.0;Fabrizio Freda;https://www.elcompanies.com;EL;97672.1
Bank of New York Mellon;229;-49.0;16158.0;3759.0;49100.0;Financials;New York;NY;no;no;no;yes;180.0;Robin Vince;https://www.bnymellon.com;BK;40056.7
Laboratory Corp. of America;230;-12.0;16120.9;2377.3;71725.0;Health Care;Burlington;NC;no;no;no;yes;218.0;Adam H. Schechter;https://www.labcorp.com;LH;24625.8
Regeneron Pharmaceuticals;231;123.0;16071.7;8075.3;10368.0;Health Care;Tarrytown;NY;no;yes;no;yes;354.0;Leonard Schleifer;https://www.regeneron.com;REGN;80226
Land O'Lakes;232;-13.0;15916.4;287.4;9000.0;Food, Beverages & Tobacco;Arden Hills;MN;no;no;yes;yes;219.0;Beth E. Ford;https://www.landolakesinc.com;;
Cheniere Energy;233;95.0;15864.0;-2343.0;1550.0;Energy;Houston;TX;no;no;no;no;328.0;Jack A. Fusco;https://www.cheniere.com;LNG;35272.3
Southwest Airlines;234;102.0;15790.0;977.0;55093.0;Transportation;Dallas;TX;no;no;no;yes;336.0;Robert E. Jordan;https://www.southwest.com;LUV;27129.3
Adobe;235;-1.0;15785.0;4822.0;25988.0;Technology;San Jose;CA;no;no;no;yes;234.0;Shantanu Narayen;https://www.adobe.com;ADBE;215280.5
Synchrony Financial;236;-49.0;15752.0;4221.0;18000.0;Financials;Stamford;CT;no;no;no;yes;187.0;Brian D. Doubles;https://www.synchronyfinancial.com;SYF;18145.5
Corteva;237;-23.0;15655.0;1759.0;21000.0;Food, Beverages & Tobacco;Indianapolis;IN;no;no;no;yes;214.0;Charles V. Magro;https://www.corteva.com;CTVA;41774.9
Fidelity National Financial;238;50.0;15643.0;2422.0;28290.0;Financials;Jacksonville;FL;no;no;no;yes;288.0;Michael Nolan;https://www.fnf.com;FNF;10569
DTE Energy;239;11.0;15369.0;907.0;10300.0;Energy;Detroit;MI;no;no;no;yes;250.0;Gerardo Norcia;https://www.dteenergy.com;DTE;25614.6
Murphy USA;240;82.0;15318.8;396.9;10430.0;Retailing;El Dorado;AR;no;no;no;yes;322.0;R. Andrew Clyde;https://www.murphyusa.com;MUSA;4888.6
Halliburton;241;-30.0;15295.0;1457.0;40000.0;Energy;Houston;TX;no;no;no;yes;211.0;Jeffrey A. Miller;https://www.halliburton.com;HAL;34028.9
Automatic Data Processing;242;-34.0;15005.4;2598.5;56000.0;Business Services;Roseland;NJ;no;no;no;yes;208.0;Carlos A. Rodriguez;https://www.adp.com;ADP;95577.1
